rank_1based,id,name,network,symbol,private,created,proposalsCount,followersCount,cum_followers,cum_coverage,is_selected
356,basedpiggy.eth,PiggyDAO,8453,PIGGY,False,1749668305,10,447,4128731,0.9524999388643911,True
357,4867.eth,fserg,1,VOTE,False,1690792556,37,446,4129177,0.9526028312477247,True
358,echelonassembly.eth,Echelon Assembly,1,PRIME,False,1663350541,14,445,4129622,0.9527054929306473,True
359,spiritswap.eth,SpiritSwap,250,inSPIRIT,False,1620351917,48,441,4130063,0.9528072318119256,True
360,theadmiraldao.eth,AdmiralDAO,1,SAIL,False,1687985361,23,440,4130503,0.9529087399927929,True
361,maticcoin.eth,Maticcoin,1,Matic,False,1639732970,59,440,4130943,0.9530102481736602,True
362,shrimpfund.eth,Shrimp DAO,56,SHP,False,1639320576,126,439,4131382,0.9531115256541164,True
363,mintimerka.eth,9k dao - 3,1,VOTE,False,1681085327,237,439,4131821,0.9532128031345726,True
364,planetfinance.eth,Planet,56,AQUA,False,1623268696,92,438,4132259,0.9533138499146178,True
365,benddao.eth,BendDAO,1,veBEND,False,1647752861,88,436,4132695,0.9534144352938408,True
366,saynotorug.eth,RuGenerous DAO,43114,RUG,False,1637648933,35,431,4133126,0.9535138671710085,True
367,bobuthefarmer.eth,Bobu,1,BOBU,False,1647908888,24,427,4133553,0.953612376246532,True
368,pozoaxel.eth,Zksync Airdrop,324,ETH,False,1707154987,47,426,4133979,0.9537106546216444,True
369,857.79798.eth,opoki,1,VOTE,False,1690791411,66,423,4134402,0.9538082408955236,True
370,guodanpi.eth,guodanpi,1,eth,False,1639919980,329,420,4134822,0.9539051350681697,True
371,lens.qiaodong.eth,Matic bridge,137,MATIC,False,1694508377,116,419,4135241,0.9540017985404047,True
372,rallygov.eth,Rally,1,RLY,False,1618613144,198,419,4135660,0.9540984620126396,True
373,狂奔的蜗牛1.eth,lumao,56,usdt,False,1637416592,271,418,4136078,0.9541948947844635,True
374,silofinance.eth,Silo,1,SILO,False,1639347556,53,417,4136495,0.9542910968558764,True
375,elfi.eth,Element DAO,1,ELFI,False,1649279643,31,416,4136911,0.9543870682268781,True
376,gotchivault.eth,Gotchi Vault,137,VLT,False,1645153306,205,416,4137327,0.95448303959788,True
377,狂奔的蜗牛2.eth,lumao(狂奔的蜗牛2.eth),56,usdt,False,1637497598,263,415,4137742,0.9545787802684707,True
378,metrox.eth,Metrox,1,Ticket,False,1629648998,68,411,4138153,0.9546735981374171,True
379,autometafi.eth,InMathWeTrust,1,IMWT,False,1651854435,12,410,4138563,0.9547681853059525,True
380,phonon.eth,Phonon DAO,1,PHONON,False,1640143228,25,408,4138971,0.9548623110736659,True
381,bwkj88.eth,Socialfi DAO,56,DJFC,True,1637503479,320,404,4139375,0.9549555140397349,True
382,coinagemedia.eth,Coinage,1,VOTE,False,1676573492,67,395,4139770,0.9550466407021044,True
383,bnbdddd.eth,bnb,1,666,False,1663391850,439,395,4140165,0.9551377673644739,True
384,magiclogic.eth,TEST,1,ETH,False,1706265751,116,395,4140560,0.9552288940268434,True
385,evmaverick.eth,EVMavericks,1,EVM,False,1650083578,31,394,4140954,0.9553197899888018,True
386,1todamoon.eth,matic to the moon,137,MATIC,False,1694326740,125,394,4141348,0.9554106859507602,True
387,zhudapang3.eth,polgon,137,matic,False,1651145184,181,391,4141739,0.9555008898114855,True
388,digitalriyal.eth,Era Gtc,56,VOTE,False,1679838188,86,390,4142129,0.9555908629717996,True
389,infinex.eth,Infinex,10,INX COUNCIL,False,1694400441,160,388,4142517,0.9556803747312917,True
390,ffdao.eth,forefront,1,FF,False,1617284081,27,386,4142903,0.9557694250899617,True
391,cryptomods.eth,Moons Governance,1,MOON,False,1702312810,67,384,4143287,0.9558580140478095,True
392,gauges.aurafinance.eth,Aura - Balancer Gauges,1,vlAURA,False,1672491383,77,382,4143669,0.9559461416048352,True
393,gelato.eth,Gelato,1,GEL,False,1637523020,10,381,4144050,0.9560340384614497,True
394,parakeetdao.eth,Parakeet DAO,1,KEET,False,1643483183,15,380,4144430,0.9561217046176533,True
395,panda-dao.eth,PandaDAO,1,PANDA,False,1647076374,18,378,4144808,0.9562089093730347,True
396,serta.eth,ENS  coalition,137,ENS,False,1652789469,15,370,4145178,0.9562942685251277,True
397,狂奔的蜗牛4.eth,lumao(狂奔的蜗牛4.eth),56,usdt,False,1639295948,170,368,4145546,0.9563791662763985,True
398,barnbridge.eth,BarnBridge,1,BOND,False,1610467586,32,368,4145914,0.9564640640276693,True
399,baovotes.eth,baovotes.eth,1,veBAO,False,1607450991,87,366,4146280,0.956548500378118,True
400,rdatadao.eth,r/datadao,8453,RDAT,False,1711796618,16,366,4146646,0.9566329367285666,True
401,umamidao.eth,Bonsai DAO,42161,BONSAI VOTES,False,1676225698,11,366,4147012,0.9567173730790154,True
402,狂奔的蜗牛3.eth,lumao(狂奔的蜗牛3.eth),56,usdt,False,1639213121,170,365,4147377,0.956801578729053,True
403,blockhuobi.eth,CyberConnect DAO,1,CC,False,1653121703,36,363,4147740,0.9568853229782684,True
404,thelanddaoprop.eth,TheLandSafe Proposals,1,LAND,False,1644038478,101,361,4148101,0.9569686058266619,True
405,snxgov.eth,Synthetix SCCP/SIP,1,SNX,True,1614762849,969,360,4148461,0.9570516579746442,True
406,chenyangcong.eth,zksync,137,MAVERICKMAVA,False,1688036048,107,356,4148817,0.9571337873209822,True
407,blastupio.eth,BlastUP,81457,BLASTUP,False,1722950622,13,353,4149170,0.9572152245660871,True
408,skgame.eth,skgame,1,ETH,False,1638252610,380,352,4149522,0.957296431110781,True
409,dawow.eth,DAWoW,1,Votes,False,1642672781,19,351,4149873,0.9573774069550637,True
410,ampleforthorg.eth,Ampleforth,1,FORTH,False,1620150467,53,351,4150224,0.9574583827993465,True
411,planckcatdao.eth,Overlay Protocol,1,Voting Right,False,1644277065,33,348,4150572,0.957538666542396,True
412,landshare.eth,Landshare,56,LAND,False,1629404360,60,347,4150919,0.9576187195850345,True
413,beanstalkdao.eth,Beanstalk DAO,1,STALK,False,1654809690,33,347,4151266,0.9576987726276731,True
414,xole.eth,OpenLeverage,56,OLE,False,1655986047,59,347,4151613,0.9577788256703116,True
415,swaprsnapshot.eth,Swapr Snapshot,1,SWPR,False,1668780531,27,347,4151960,0.9578588787129501,True
416,unlock-protocol.eth,Unlock Protocol,1,UDT,False,1622822434,85,346,4152306,0.9579387010551775,True
417,kalmyapp.eth,Kalmy.APP,56,veKALM,False,1660745704,160,345,4152651,0.9580182926969939,True
418,undeadpastelnft.eth,Undead Pastel Club,1,UPC,False,1642096383,21,344,4152995,0.9580976536383993,True
419,yakherd.eth,Yield Yak,43114,vYAK,False,1635508255,17,344,4153339,0.9581770145798045,True
420,rareships.eth,Rareships DAO,2109,RSHPS,False,1674156647,16,343,4153682,0.9582561448207988,True
421,brightmoments.eth,Bright Moments,1,CITIZEN,False,1625269714,30,343,4154025,0.9583352750617931,True
422,otterclam.eth,OtterClam,137,MATIC,False,1636616639,161,343,4154368,0.9584144053027873,True
423,pstakefinance.eth,pSTAKE Finance,1,PSTAKE,False,1646214665,24,342,4154710,0.9584933048433706,True
424,itokenpocket.eth,TokenPocket,56,xTPT,False,1669715623,20,341,4155051,0.9585719736835427,True
425,romedaofi.eth,RomeDAO,1285,sROME,False,1639642941,21,339,4155390,0.9586501811228927,True
426,veyfi.eth,yearn,1,veYFI,False,1671020736,80,339,4155729,0.9587283885622427,True
427,keephopeif.eth,keephope,1,ETH,False,1688130617,116,338,4156067,0.9588063653011817,True
428,sniperalex.eth,Matic sniper,137,MATIC,False,1694321944,144,338,4156405,0.9588843420401206,True
429,usebraintrust.eth,Braintrust,1,BTRST,False,1629324216,19,336,4156741,0.9589618573782375,True
430,tcgverse.eth,CryptoSpells Governance,2400,TCGC,False,1653224452,94,335,4157076,0.9590391420159432,True
431,latticegov.eth,Lattice Gateway,1,veLTX,False,1615791348,41,335,4157411,0.959116426653649,True
432,beanstalkfarms.eth,Beanstalk Farms,1,STALK,False,1633724140,149,332,4157743,0.9591930191901216,True
433,xingzepeng.eth,WILL,137,USDT,False,1637392389,20,329,4158072,0.959268919625361,True
434,wagdie.eth,WAGDIE,1,WAGDIE,False,1654905482,58,328,4158400,0.9593445893601893,True
435,lunargovernance.eth,Lunar Governance,4689,LRG,False,1629501385,18,328,4158728,0.9594202590950176,True
436,richdaomoney.eth,RICH DAO,250,gRICH,False,1646300698,10,328,4159056,0.959495928829846,True
437,goopsnapshot.eth,GOOP TROOP,1,GOOP,False,1633590051,394,327,4159383,0.9595713678642632,True
438,equationdao.eth,EquationDAO,42161,veEQU,False,1699614882,14,327,4159710,0.9596468068986805,True
439,noixaref.eth,Testing Snapshott,1,ETH,False,1687898030,188,327,4160037,0.9597222459330979,True
440,rusha.eth,Testers Game,1,VOTE,False,1681516525,157,326,4160363,0.959797454267104,True
441,zombiezdao.eth,Crypto Zombiez DAO,1,ZOMBIE,False,1634955857,45,325,4160688,0.9598724319006992,True
