space,strategies_str,n_strategies,strategy_class
skvlldao.eth,erc721,1,other_single
cccdd.eth,erc20-balance-of,2,multi_other
💿💿💿💿💿💿💿💿💿💿.eth,erc721,1,other_single
qhsky.eth,eth-balance,1,other_single
fortressdao.eth,erc20-balance-of|erc20-balance-of-indexed,2,multi_other
posttechdao.eth,erc20-balance-of,1,simple_erc20
level-finance.eth,erc20-balance-of,2,multi_other
partydao.eth,erc20-balance-of,1,simple_erc20
biteren.eth,erc20-balance-of,1,simple_erc20
wdswap.eth,eth-balance,2,multi_other
gramdao.eth,erc20-balance-of,1,simple_erc20
linkstar.eth,api-post|xrc20-balance-of,2,multi_other
svs.eth,contract-call|erc721,4,multi_other
51588.eth,erc20-balance-of,1,simple_erc20
yearn,delegation|erc20-balance-of|yearn-vault,3,multi_delegation
halloweenbearsdao.eth,mutant-cats-stakers-and-holders,1,other_single
ethlizards.eth,erc721,2,multi_other
poktdao.eth,erc20-balance-of,1,simple_erc20
freerossdao.eth,erc20-balance-of,1,simple_erc20
leukosedu.eth,erc20-balance-of,1,simple_erc20
0vix-protocol.eth,contract-call,1,other_single
fantohmdao.eth,multichain,1,other_single
voltagefinance.eth,erc20-balance-of,1,simple_erc20
dapang1.eth,ticket,1,other_single
figure1.eth,erc20-balance-of,1,simple_erc20
briwanbriwan333999.eth,eth-balance,1,other_single
futera.eth,erc721,1,other_single
kcc.eth,eth-balance,1,other_single
dogelondao.eth,erc20-balance-of,1,simple_erc20
dao.connext.eth,erc20-votes,6,multi_delegation
vnetwork.eth,api-post,1,other_single
basedpiggy.eth,contract-call|erc1155-balance-of|erc20-balance-of|erc20-tokens-per-uni,6,multi_other
4867.eth,ticket,1,other_single
echelonassembly.eth,api-v2|erc20-balance-of,3,multi_other
spiritswap.eth,delegation|erc20-balance-of,2,multi_delegation
theadmiraldao.eth,clipper-staked-sail|math,2,multi_other
maticcoin.eth,eth-balance,1,other_single
shrimpfund.eth,erc20-balance-of,1,simple_erc20
mintimerka.eth,ticket,1,other_single
planetfinance.eth,planet-finance-v2,1,other_single
benddao.eth,delegation|erc20-balance-of,2,multi_delegation
saynotorug.eth,erc20-balance-of|erc20-balance-of-weighted,3,multi_other
bobuthefarmer.eth,erc1155-balance-of,1,other_single
pozoaxel.eth,eth-balance,1,other_single
857.79798.eth,ticket,1,other_single
guodanpi.eth,eth-balance,1,other_single
lens.qiaodong.eth,erc20-balance-of,1,simple_erc20
rallygov.eth,contract-call,1,other_single
狂奔的蜗牛1.eth,erc20-balance-of,1,simple_erc20
silofinance.eth,erc20-balance-of,4,multi_other
elfi.eth,erc20-balance-of,1,simple_erc20
gotchivault.eth,erc20-balance-of,1,simple_erc20
狂奔的蜗牛2.eth,erc20-balance-of,1,simple_erc20
metrox.eth,ticket,1,other_single
autometafi.eth,ticket,1,other_single
phonon.eth,erc20-balance-of,2,multi_other
bwkj88.eth,balance-of-with-min,1,other_single
coinagemedia.eth,api-v2,1,other_single
bnbdddd.eth,eth-balance,1,other_single
magiclogic.eth,eth-balance,1,other_single
