space,log_n_unique_voters,mean_robust_participation_vp,std_robust_participation_vp,gini_voting_power,whale_ratio_top1pct,proposal_frequency_per_30d,repeat_voter_rate,z_rep_pct_for_votes,z_rep_pct_against_votes,z_rep_pct_abstain_votes,z_rep_choice_entropy,z_rep_pct_aligned_with_majority
bullsontheblock.eth,0.07984377624655663,1.058635789851608,-1.1767182257153843,-0.05795237685422294,-0.7203528849803358,0.1320170004023817,0.06658991134464394,0.034911456515294946,0.19549434931709858,0.0018240054139004092,0.4953519598812391,-0.08436264471570448
bwkj88.eth,-0.4701340214333815,-0.7461263547015439,0.7715289417310202,-1.3578815165166693,1.243654293454235,2.8094044241515004,1.375669074701497,0.7358961455026896,-0.7200487485774454,-0.33618760124422753,-0.7274031143126836,0.8486664634710589
bytedust.eth,0.8469515318446204,-0.08662963280572988,0.6886753244066699,-1.4813499598344553,1.2550556597618503,18.82141671570206,0.9273735005529512,-0.9706972469446141,2.4915886800901217,-0.2845802113831412,2.12881937329352,-2.652385870678697
cakevote.eth,2.5437693312569514,-0.9955154813530542,0.06014142723378842,0.43413179026379645,0.38199479952824295,9.183350649391597,-0.5326677103857247,0.2592308188338136,-0.08176695205590348,0.22377251589775263,-0.08058004581226345,-0.00034487422641094143
castlekidvault.eth,-0.5334853010035931,0.34079237576379273,0.6243370929840749,-0.23566816884458935,-0.49194476569607937,-0.22496322836135113,-0.8888462782369124,0.07859383353518544,-0.07639205618705429,0.9088865621018887,0.2707244197472787,-0.09470074839994812
cccdd.eth,-3.0755680910737744,2.3407940687929356,0.0,-0.5160129295007319,1.1337379511371923,4.027047944421505,-1.9106612266261969,0.7495151578447019,-0.745825429504979,-0.33618760124422753,-0.7633133328821041,0.8767415519108479
chaingov.eth,-0.9363471153518113,0.3428201105816857,0.5812128552435016,0.10149954121257806,0.2790955483323567,-0.1561306541377387,0.03397222909310357,0.5443560386557909,-0.3575211221219061,-0.33618760124422753,-0.3496975142624608,0.43428664845178416
chaingptai.eth,-0.015589335523122218,-0.19590637652465026,0.3427713225669537,-0.19480328311680067,-0.8101116864903412,-0.17652961768735012,-0.5172455081224654,-0.727787132361819,1.6227049859235771,0.25054808063023465,0.5793936013633231,-1.1356485291826477
chenyangcong.eth,-0.8220648108905899,-0.6956214531685841,0.4857688950126472,-1.0433587605376902,0.7684022323759387,1.7063626469657318,-0.10130154247379823,0.16205203240604807,0.3051686383671008,-0.16569982902338035,0.0068142968683137526,-0.12123012072488172
coinagemedia.eth,-0.06903484455652915,-0.11461639708247032,-0.8869828734344061,-0.7773186314680963,0.17780661305425596,-0.07325212576447007,-0.15479717355846187,-2.1666861340745722,4.599225433013817,0.3269069980525223,0.08621793925382477,-0.23299606423977326
coincollect.app,-0.7258862024453677,0.003461109239701336,1.5384040468849285,0.3464322910094627,0.35919444603202577,-0.14991558689214432,-1.210044506822825,-0.3395974020956195,0.07667834937931728,1.3182032014284781,0.044882316674631106,-0.8529768973529878
comp-vote.eth,0.161954298377956,0.16511591160693326,0.3523718380527573,-0.006890548297971701,-0.17305624438825892,-0.2753893628809815,-0.14792235625332845,0.2594909609564824,-0.4731243343789174,0.9374250386798915,0.15160921637024274,0.11578414241255047
compgov.eth,-1.430433680716989,-0.31723827922456765,3.090291115956628,-0.3951375771847104,0.48188169273176973,-0.2743804013412978,-1.398672085231425,0.6936422866979847,-0.6400749436484263,-0.33618760124422753,-0.7633133328821041,0.7615617019014569
conic-dao.eth,-0.7455600548549116,0.6352149307749129,-0.9993606257611618,-0.22432901058750643,0.10287624009300614,0.7887743661899254,0.7600720466578773,-1.78333855740461,-0.2814032581889373,1.5226306795799376,0.6205131303423533,0.19507036717305737
council.bibliotheca.eth,-0.43545320780922625,0.2777755494248583,-0.02174838584361204,-0.2544219355131252,-0.46820782841110264,-0.10484692557024473,0.20923760706456948,-0.6128889021645092,0.3668226792473771,-0.1691494291642825,0.39930807786983086,0.5367733690254454
cow.eth,1.4302073699219315,1.304174460838489,-2.769985788511759,0.5407800975135846,0.16648713437997334,-0.09825316015664806,0.6472363800557485,0.6453206590970167,-0.6211352741977003,-0.05654830097237661,-0.5008677292965923,0.6619484601785793
cream-finance.eth,-0.8324500458417426,-0.07650023903793816,-0.16477838706734865,0.16666935295303795,0.5263145339259669,0.00955055627021345,0.01690185273382392,0.6006363585116085,-0.47462946774263304,-0.29536424278812434,-0.3602638713231727,0.6115732313989424
cryptomods.eth,-0.5642584033134387,0.39047244634817685,-0.5163759774729867,0.2334494117713686,-0.48070992884415464,-0.011762306036329443,0.8510234853151564,0.14280009175254363,0.40250311883928774,-0.33618760124422753,1.1484556474945906,-0.20084954918208178
ctcswap.eth,1.6445105368774762,-0.598375847366313,0.5848541156659288,-1.4813499598344553,1.2550556597618503,0.07469684584017866,0.30931158374635903,0.39923977357200713,-0.28391017493083553,0.04714693762480474,-0.47620554044103464,0.17206687323833136
curve.eth,-0.2147029922714717,-1.0521271832823162,0.18083877528498188,-0.26068472340756776,0.7424898550668168,1.3095407234824668,-0.4087209014835734,-0.00858757159183785,0.3641119429078515,0.708903449924144,-0.1035911306928041,-0.3631867922688102
cvx.eth,0.9335880562950388,-0.2902282291328779,-1.138588279999283,0.21060355000359376,-0.036657423672761674,5.145674299306917,0.9071519592175328,-1.9382128885255365,-0.5868358610847044,-0.33618760124422753,-0.3330392635387412,0.7273946600972974
dackie.eth,-1.2594800238820179,1.1919316537013458,-1.1053335810504008,-0.39877011956229774,-1.0291686643499642,0.018437302690516154,0.38191237317483845,0.6555016839446602,-0.5678862912801865,-0.33618760124422753,-0.5383455030723345,0.6829362650081217
dao.amkt.eth,0.6282390487653932,-0.5032964819272,-0.02417102307309473,-0.22599068846528225,0.4899297685320001,-0.22626526301668934,1.105241867433949,0.5985794941010354,-0.5737541256774404,0.10188275338619213,-0.4684213121634418,0.5655932834531098
dao.connext.eth,-0.5187412444601982,1.2576941212260602,-1.6518050734754195,0.3252830182783473,-0.28294898320682865,0.009660238413970443,0.6513885453122998,0.20654377940027568,-0.14969029263379882,1.1705303170938206,1.0720538605273306,-0.12936963018109376
dao.spaceid.eth,1.362680138290573,1.1407491981562472,-0.1156127413694374,0.5775386460047625,0.76683040319641,-0.2616655873224865,0.04377808083421493,0.020537847023840018,-0.44615233821643013,0.70926083225615,-0.5864679176579541,0.25505833208674594
