space,pc1,pc2,cluster
goldfinch.eth,-2.334631217221295,-0.9815334951372849,2
golflinks.eth,-2.51058299305969,0.23967502939496044,2
goopsnapshot.eth,-2.069378000621449,-0.17164216594677467,2
gotchivault.eth,-1.2298221707737815,1.0432479093736573,2
governance.qredo.eth,-2.4739731812734087,-1.490791755837966,2
gramdao.eth,-2.568468758709089,0.4557303513073634,2
grayboys.eth,-1.6483412345322905,0.8015272631626069,2
gro.xyz,-2.3086866081962243,-0.47355710910184057,2
guodanpi.eth,-0.2712302849492585,-0.46736881039760725,2
hakka.eth,-2.5329707275873514,1.5854098303564639,2
halloweenbearsdao.eth,0.7183192312107889,2.4574324762580084,2
harmony-mainnet.eth,-2.5083814772752357,-0.4308507575037812,2
hashflowdao.eth,-2.4609550844937487,0.8065475259733375,2
hectordao.eth,-2.082024412904316,2.4916305348188303,2
hi.mochilittlesister.eth,-2.1622153783661777,-0.4320254589326586,2
hop.eth,-2.3112732717284628,-0.6210760734019066,2
hubbleexchange.eth,-2.382644173427513,-0.901655878087558,2
hundredfinance.eth,-2.464682691132521,-0.8826485486366022,2
huwacoin.eth,-0.3002471821088508,1.5883533660932496,2
hypergptdao.eth,-1.5834379685575066,2.1011627856885733,2
ideamarket.eth,-2.4963420119432103,0.2203392521588462,2
ilv.eth,-2.560412251804309,2.171300518203963,2
ilvgov.eth,-2.3523965133896145,-0.44080663296239025,2
index-coop.eth,0.5152873891020531,-1.5394510057522401,2
infinex.eth,-1.247534700036105,-1.449499554456033,2
instadapp-gov.eth,-2.5442368684155623,-0.3187101764334839,2
insuretoken.eth,-2.4584133005231528,-1.0020930111060067,2
iotex.eth,-2.5296880749539037,-1.8536343091429686,2
itokenpocket.eth,-2.5733594429924116,3.841580588184832,2
jadeprotocol.eth,-2.5116778647041973,-1.5664122997976846,2
jbdao.eth,-1.4097855781533073,-0.32835595100883264,2
joegovernance.eth,-1.9422398995462513,-0.9192011845912511,2
jpeg鈥檇.eth,-2.0081233976863357,-0.6219064227323784,2
kalmyapp.eth,-1.6561692443239422,-0.7492917154496694,2
kcc.eth,-2.5279298644665458,-0.6391384836491268,2
keephopeif.eth,9.926111637121364,1.0220423304189237,2
klimadao.eth,-2.3072377896572545,-0.9559942130658602,2
koba777.eth,-0.9793766399430397,-1.14292440979087,2
kogecoin.eth,-1.821219609026545,0.9579153851011417,2
kopio.eth,18.459030631291807,-1.8872116305037616,0
krausehouse.eth,-1.9656315749759528,0.10820245357938485,2
kudasaijp.eth,-2.51663583239131,3.621356603365916,2
kuiclub.eth,-2.24474937491552,0.7511182535151057,2
kuiqian.eth,-1.8238105593858933,-0.8357363314625961,2
kuwaoracle.eth,0.27321226675122245,0.4973260362655125,2
kwenta.eth,-2.0516109462509395,4.251964687854096,2
landshare.eth,-2.4217228206388017,-0.5947907321636255,2
latticegov.eth,-2.5025486312680383,2.6489045299937386,2
layer2dao.org,-2.4874661977392845,-0.4249049128000353,2
lens.qiaodong.eth,-1.4171712743026064,0.543928738149082,2
leukosedu.eth,-1.1819525729656812,3.173829879090002,2
level-finance.eth,-2.313747102745143,-0.8549203094605772,2
lgcryptounicorns.eth,-2.3001465759086814,-0.8326196888646594,2
liberofinancial.eth,-2.572294083078782,6.883425367891,2
lido-snapshot.eth,-1.6498870692631997,-0.8796977853036569,2
lifedog.eth,1.7849199668862483,-1.9625570687426812,2
linkstar.eth,-2.5385950332584852,2.113948757027765,2
liquiddriver.eth,-2.438260701258541,-0.9206923980854074,2
listavote.eth,-2.369729174679206,-1.0687603659477263,2
livelabs.eth,-1.948295762803817,-1.0690677792747911,2
loopringdao.eth,-2.40932030067644,1.5185379399217935,2
loot-dao.eth,-2.3780523717270245,0.3379938765417909,2
lyra.eth,-2.208393466662487,1.3889970519379031,2
magicappstore.eth,-0.9810285761581217,0.021543617171317475,2
magiclogic.eth,-1.5941332168140572,-0.5090812791675505,2
magpiexyz.eth,-2.227937726135044,-0.790258276919358,2
mainnet.ssvnetwork.eth,-2.292707892961838,-1.2772256658433523,2
mantra-dao.eth,-2.470862322828598,-1.315684012060681,2
masknetwork.eth,-2.5136951819769844,-1.5397390467849272,2
matic.joints.eth,12.968295114074285,-0.39906210223880945,2
maticcoin.eth,-2.1752935712148536,-1.0155682027528776,2
maturka.eth,50.731867050152616,0.54553061665387,0
meiridi.eth,-0.6373415088662735,0.5895441374459784,2
mendifinance.eth,-2.24934154555567,-0.9918239891739016,2
meritcircle.eth,-2.4525821817624456,-0.6959483705630458,2
metaverse-pro.eth,-1.4980217474154396,-0.9669955486804761,2
metfi.io,-2.257246807849132,-0.9480936519110208,2
metislayer2.eth,-1.6503446775716952,-1.0026818670131523,2
metrox.eth,-2.17613451744883,-0.611919302547185,2
mintimerka.eth,20.761646357487287,0.28265319612477535,0
mocana.eth,-1.239284041977026,2.5874328557220823,2
moonbeam-foundation.eth,-2.5125439408384085,-1.076879433107339,2
