space,pc1,pc2,cluster
revotu.eth,7.393081238570204,-0.314551203937811,2
rfrmdao.eth,-2.487483407896464,-1.8341106716240196,2
richdaomoney.eth,-2.4381069362944676,1.7666396044419135,2
richroad.eth,-1.6000082951030952,-0.7219085688622305,2
richroad.levdeviatkin.eth,-1.8738614051295899,-1.4430353025515334,2
rocketpool-dao.eth,-2.3941744997145165,-0.14745505901848321,2
romedaofi.eth,-2.106308906858106,-0.685774867213699,2
romerocpa.eth,-1.6686290582275767,2.0309976875541804,2
rss3.eth,-2.5319617801458176,3.2526748368305496,2
rugcommunity.eth,-2.3623593974673627,-1.2090044270563973,2
rusha.eth,-0.7766193228507348,2.4040292065643762,2
safe.eth,-2.381176733879278,2.6573818926159762,2
safedoor.eth,-0.7037905832696194,-0.7447685404642058,2
sandboxdao.eth,-2.3292627796543925,-1.0010205282476798,2
saynotorug.eth,-2.346414380025,-0.947871566856137,2
sdao.eth,-2.5539335596750927,0.4461843510779684,2
seamlessprotocol.eth,-2.460673128341687,-1.4836750328614323,2
serta.eth,-1.931907021253831,1.5448625151662925,2
shapeshiftdao.eth,-1.9488617719157004,-0.9791227990847615,2
sharkdao.eth,-0.3308267134006633,0.49550723719315837,2
shellprotocol.eth,-2.4361175594813673,-0.5158415060074852,2
shiba-swap.eth,-2.486967593883286,-1.0553345625488857,2
shrimpfund.eth,23.96684808047353,2.2288802088681816,0
shutterdao0x36.eth,-2.251909004417582,0.8138111249914932,2
sidusheroesdao.eth,-2.485130085198892,-1.7303824777937276,2
silofinance.eth,-2.4193613713602975,0.33557899563851246,2
sismo.eth,-2.4545984379433565,-1.7021120721475569,2
skgame.eth,-0.8585680983335304,0.19726929252337544,2
skvlldao.eth,-2.5603564213997942,4.665586921953982,2
snapshot.dcl.eth,4.521085960561345,0.8897960210651119,2
sniperalex.eth,-1.1435687066989153,0.7759380802825193,2
snxgov.eth,-0.10296456630920092,-1.5450788184471949,2
spartacusdao.eth,-2.4652300961383067,-0.8728317445414197,2
speraxdao.eth,-2.3220557239664767,-0.6182552082537576,2
spiritswap.eth,-2.4331247952726462,-1.2003534455009606,2
spookyswap.eth,-2.2928635460501265,-1.224663803650099,2
staderdao.eth,-2.4803926230313915,-1.7644850279258963,2
stakedao.eth,-2.2967621514391743,0.4895630511177429,2
stakewise.eth,-2.232876634626449,-1.3795225754293212,2
starknet.eth,-2.5291277405595958,2.0909659715095454,2
stp.eth,-2.460851046083855,-1.8825415162382668,2
strayshot.eth,-1.9858961841202196,0.10201944729418244,2
streamr.eth,-2.5195523007953997,-0.6128912095608514,2
superfluid.eth,-2.412758602681554,-1.3063365207076605,2
superraredao.eth,-2.495506191382808,-1.7453048698066214,2
supported.eth,-1.7177135769636567,-0.027498285740938933,2
sushigov.eth,-2.114217384237353,0.8619378264059736,2
svs.eth,-1.960917774027526,1.320618721603454,2
swaprsnapshot.eth,-2.1419682857135234,0.6991455233867916,2
swpr.eth,-2.5467746468125427,1.0617114967349315,2
symbiosisdao.eth,-2.3311580005950816,-1.48692112366059,2
synapseprotocol.eth,-2.418387954412315,-1.3298921515163675,2
tcgverse.eth,-2.1626050725412833,2.0417530382322986,2
theadmiraldao.eth,-2.2902626296360955,-1.2906340536760288,2
thegooddao.eth,-2.5234334422129345,-0.8469575677011089,2
thegurudao.eth,-2.505837148517812,-1.0086849993014995,2
theheaddao.eth,-1.865115338579764,4.2167407579251845,2
thelanddaoprop.eth,-2.2939478159725684,0.1916867043803614,2
