space,avg_voters_per_proposal,median_voters_per_proposal,voter_turnout_proxy,gini_voting_power,hhi_voting_power,whale_ratio_top1pct,proposal_frequency_per_30d,repeat_voter_rate,mean_participation_count,std_participation_count,mean_robust_participation_vp,std_robust_participation_vp,z_rep_total_votes,z_rep_avg_voting_power,z_rep_median_voting_power,z_rep_max_voting_power,z_rep_voting_power_std,z_rep_pct_for_votes,z_rep_pct_against_votes,z_rep_pct_abstain_votes,z_rep_pct_aligned_with_majority,z_rep_is_whale_ratio,z_rep_active_duration_days,z_rep_avg_days_between_votes,z_rep_choice_entropy,log_n_unique_voters,log_total_votes,log_n_proposals,log_mean_sum_vp,log_mean_n_voters,log_n_voters_in_dao
1todamoon.eth,-0.30954434511734547,-0.2524850894632207,-0.6086775320777128,-0.5358120577502217,0.6788030156679781,0.12683620735711537,0.639414016519481,-0.4700643287801224,-0.6086775320777128,-0.7658442697379695,-0.40351736135081206,0.31168552375224573,-0.400402425812887,0.0,0.0,0.0,0.0,-0.3213473527084841,0.9873946786297604,0.12119027241768282,-1.0579673982518456,-0.03149801017366141,-0.5233143556256203,-0.6101655108213327,0.2472949105414928,-0.2017212168805961,-0.5207699299173113,0.4911664968381524,-0.8357720505795475,-0.7942240299754912,-0.2017212168805961
2021eth.eth,-0.15538636356438823,-0.2644135188866799,-0.6607297207812763,-1.4813499598344553,0.000116513103087907,1.2550556597618503,1.9912866425608353,0.4030067005000808,-0.6607297207812763,-0.5692404464985118,-0.7889832934001736,0.021121292140197447,0.018200099782410172,0.0,0.0,0.0,0.0,-0.34679472519695964,0.8033189432360514,1.2964951243964022,-0.6836165319383856,-0.03149801017366141,-0.46655490116415244,-0.5907927367141249,1.559860822356085,0.6955872862677834,0.592748277379501,0.9978992412278813,-0.8716487636776459,-0.24190140481124134,0.6955872862677834
4867.eth,-0.3625698629586052,-0.30417495029821073,-0.4254053520336012,-1.4813499598344553,2.373098824612301,1.2550556597618503,4.189400413790839,-1.9106612266261969,-0.4254053520336012,-1.0035678701252053,2.3407940687929356,-4.113009690273874,-0.7212094092272429,0.0,0.0,0.0,0.0,-2.3634019489009614,3.4876875475934517,-0.33618760124422753,0.8767415519108479,-0.03149801017366141,-0.5514894683265801,-0.6244633104894063,-0.7633133328821041,-1.8681148074807516,-2.4679312589136635,-0.3239499063104304,-1.1860328948296084,-1.595029708902893,-1.8681148074807516
51588.eth,0.13238614001750737,-0.08946322067594434,-0.44303159300418166,-0.03513761124701573,0.16092234494857227,-0.21011198710802775,0.23668039221467893,-1.5051371169700574,-0.44303159300418166,-0.2958669965190658,-0.4294732375389135,0.24552479210663533,-0.5995576021988487,0.0,0.0,0.0,0.0,-0.8518631848622991,2.201504974860582,-0.013834212716387044,-0.7600092438476116,-0.03149801017366141,-0.5255682582763204,-0.5759297230269981,-0.5969542935889041,0.5609606106214466,0.015400553423738339,-0.11500800883329494,-0.5196444084729243,0.13640670274523084,0.5609606106214466
53231323.eth,1.3349944283475785,2.697813121272366,2.0515309422802916,0.26344179377597376,-0.5069686800153907,-0.38425555996402416,-0.19523593138372478,0.5784225551867009,2.0515309422802916,1.2371835506030537,0.33892215362142286,-0.07066292327228359,0.43733458204495995,0.0,0.0,0.0,0.0,0.028240016583484545,0.18832869788398315,0.4053147668968118,-0.2722247368623826,-0.03149801017366141,-0.21702978587921545,-0.3699570885116138,0.9193291614060798,0.06305290724908186,0.15941764504360664,-0.6252460874811143,-0.36696414329214094,0.6834706922790434,0.06305290724908186
551111155.eth,-0.3569930962267507,-0.2962226640159046,0.059805225180591635,-1.4813499598344553,1.292481869841467,1.2550556597618503,-0.09080105140069246,-1.3560063234485271,0.059805225180591635,-0.27037284356562236,0.37192851010746253,-0.5396116845619314,-0.6560454907211998,0.0,0.0,0.0,0.0,-0.5871656831305806,1.4977005030767419,-0.33618760124422753,-0.7869673926692424,-0.03149801017366141,-0.4697395442932211,-0.451573588218178,-0.38061098465041354,-1.9471078531246633,-2.4507232550421714,-0.6958553622445015,-1.1413959910631102,-1.4069504283602754,-1.9471078531246633
5552.eth,-0.3625698629586052,-0.30417495029821073,-0.6247719456562901,-1.4813499598344553,2.373098824612301,1.2550556597618503,7.581250652236654,-1.9106612266261969,-0.6247719456562901,-1.0035678701252053,2.3407940687929356,-4.113009690273874,-0.7212094092272429,0.0,0.0,0.0,0.0,-2.0691461029896887,3.4876875475934517,-0.33618760124422753,0.8767415519108479,-0.03149801017366141,-0.5514894683265801,-0.6244633104894063,-0.7633133328821041,-1.4145451454834157,-2.035359163456625,0.15681512588437826,-1.1860328948296084,-1.595029708902893,-1.4145451454834157
691800.eth,0.8225310630395526,0.9920477137176938,-0.14279849042128373,-1.4813499598344553,-0.7238557883686116,1.2550556597618503,1.4971326074490845,0.2621671091942331,-0.14279849042128467,-0.24259540352726808,-0.08106611990879993,-0.4774767147804425,0.4747455025540877,0.0,0.0,0.0,0.0,-0.34863144538604335,0.9073059650592805,0.8743012688075242,-0.3719825464055067,-0.03149801017366141,-0.4379905445826701,-0.5616534413997571,1.056391429410184,0.6739164277480801,0.7549958956912617,0.21208958937301683,-0.694504408984899,0.5231921216815894,0.6739164277480801
721nftdao.eth,0.04481364641283286,0.10934393638170974,1.0961579345127883,-0.40418651581292736,-0.4139459319293179,-0.7363995365626741,-0.24942314435095075,0.5020876021966668,1.0961579345127883,1.1796053638802206,0.7889648522219571,-0.37890825630801855,0.18196250126648095,0.0,0.0,0.0,0.0,-0.3157194978668231,0.7507489036932555,0.1399397906158541,-0.35741651392081286,-0.03149801017366141,0.1270819434614499,-0.029758089898797968,1.407838629501728,-0.4701340214333815,-0.44642451070165445,-0.5060386155160412,-0.5388749059435033,0.050948490096631126,-0.4701340214333815
79798.eth,-0.3625698629586052,-0.30417495029821073,-0.46821805002308864,-1.4813499598344553,2.373098824612301,1.2550556597618503,5.742337077323599,-1.9106612266261969,-0.46821805002308864,-1.0035678701252053,2.3407940687929356,-4.113009690273874,-0.7212094092272429,0.0,0.0,0.0,0.0,-1.2933366934571442,3.1206767096252217,-0.33618760124422753,0.8767415519108479,-0.03149801017366141,-0.5514894683265801,-0.6244633104894063,-0.7633133328821041,-1.7993449122473204,-2.4023449991217536,-0.2510566692488028,-1.1860328948296084,-1.595029708902893,-1.7993449122473204
