space,log_n_unique_voters,mean_robust_participation_vp,std_robust_participation_vp,gini_voting_power,whale_ratio_top1pct,proposal_frequency_per_30d,repeat_voter_rate,z_rep_pct_for_votes,z_rep_pct_against_votes,z_rep_pct_abstain_votes,z_rep_choice_entropy,z_rep_pct_aligned_with_majority,cluster
conic-dao.eth,5.476463551931511,0.5462368711954297,0.2634414096384229,0.5894591247377463,0.5505806521148447,7.837837837837839,0.8025210084033614,-1.62927332132522,-0.245091002827098,0.43878756188685,0.0341242661479319,0.1933725040551268,2
council.bibliotheca.eth,6.059123195581797,0.4511414233067743,0.3234912298446837,0.5753475467261939,0.3278234796872334,1.7220543806646529,0.6370023419203747,-0.580497990165461,0.1544191853967823,-0.146031533794058,-0.0770462872293068,0.3766605733680528,2
cow.eth,9.564512185696797,0.7242111220754119,0.1546807800816346,0.9482443506007922,0.5753927309810486,1.7671809256661992,0.7686153414274686,0.5469141487272102,-0.454472321627958,-0.107107273116516,-0.529445730645838,0.4438039717554004,2
cream-finance.eth,5.313205979041787,0.3568876378041013,0.3147056137211468,0.7728113220774756,0.7157470824774942,2.5049701789264414,0.5792079207920792,0.5068750133963614,-0.364178862306908,-0.189661809846789,-0.458782748389493,0.4167829085099413,2
cryptomods.eth,5.817111159963204,0.4811240230083138,0.2931087359134449,0.8041267230217244,0.3229469077506926,2.3591087811271296,0.8298507462686567,0.0966332057821018,0.1764095105504645,-0.203773738135553,0.2994512156328541,-0.0189972927505125,2
ctcswap.eth,9.96716632919931,0.2180445295581505,0.3607517812831437,0.0,1.0,2.950819672131148,0.6670732851646805,0.3264146500489552,-0.246636048653833,-0.0712616242940849,-0.517051306775674,0.1810335255624271,2
curve.eth,6.473890696352274,0.0973256363124455,0.3359351438068236,0.5724107162199976,0.8000684739183413,11.401869158878505,0.4513137557959814,-0.0390169232488099,0.1527485228658872,0.1574961457515274,-0.329787274308832,-0.106074314906154,2
cvx.eth,8.63141433550626,0.3000260830765439,0.2548893526332408,0.793413535075589,0.4961541217436795,37.65567765567766,0.846716630977873,-1.76804766089831,-0.433333141293805,-0.203773738135553,-0.445100535080873,0.4789090412512532,2
dackie.eth,4.51085950651685,0.6943493313105791,0.256932022120544,0.507657860028385,0.1090149774930053,2.5657894736842106,0.6888888888888889,0.5560368031347103,-0.421654271686542,-0.203773738135553,-0.548280855808785,0.4550617429937845,2
dao.amkt.eth,8.057694194815587,0.243340049059251,0.3233424193816849,0.5886799084581635,0.7015548332000242,0.8910891089108911,0.9062401013620526,0.5050319707300734,-0.42527069535787,-0.0523404003658214,-0.513139203704058,0.3921194556271331,2
